id,title,description,google_product_category,product_type,link,mobile_link,image_link,additional_image_link,condition,availability,price,sale_price,shipping,shipping_weight,sale_price_effective_date,brand,gtin,mpn,gender,age_group,color,size,size_type,size_system,material,pattern,item_group_id,adwords_grouping,adwords_labels,adwords_redirect,promotion_id,display_ads_title,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
10493483,Lycra Sporty Hair Ties By Bead Landing,Get the Lycra Sporty Hair Ties By Bead Landing at Michaels.com. Tie your hair up in a fuss-free ponytail and show the world you mean business! These Lycra hair ties by Bead Landing are stretchy and comfortable.,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Jewelry Findings,Categories Home Tabbed Slider > Category Page Slider Wk46 > Weekly Ad Deals > Beads & Jewelry > Hair Boutique Hair Accessories,http://www.michaels.com/lycra-sporty-hair-ties-by-bead-landing/10493483.html,http://www.michaels.com/lycra-sporty-hair-ties-by-bead-landing/10493483.html,http://img.michaels.com/L6/3/IOGLO/892952226/223663067/10493483.jpg?fit=inside|540:540,,new,in stock,4.99,,,,,Bead Landing,8.86946E+11,10493483,unisex,adult,Black,,,,,,M10494259,,,http://www.michaels.com/lycra-sporty-hair-ties-by-bead-landing/10493483.html?cm_mmc=zadv_PinterestBrand-_-pinterest-_-alpha-_-2017&utm_campaign=alpha_{campaignid}&utm_medium=social&utm_source=pinterest&utm_content={adgroupid},"THANKYOU417,50APRIL1817,",,,,,,
10371029,Craft Smart Multi-Surface Premium Satin Acrylic Paint,"Get quality coverage at an affordable price with this premium acrylic paint. Durable and weather resistant, the paint's smooth, creamy consistency delivers rich coverage in a full range of colors.","Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Craft Paint, Ink & Glaze > Art & Craft Paint",CRAFTS & HOBBIES > Craft Paint > Acrylic Craft Paints,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html,http://img.michaels.com/L6/3/IOGLO/831890610/187264572/10371029.jpg?fit=inside|540:540,,new,in stock,0.99,,,,,Craft Smart,8.86947E+11,10371029,unisex,adult,Rain Forest,2 oz,,,,,M10371004,,,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html?cm_mmc=zadv_PinterestBrand-_-pinterest-_-alpha-_-2017&utm_campaign=alpha_{campaignid}&utm_medium=social&utm_source=pinterest&utm_content={adgroupid},"THANKYOU417,50APRIL1817,",,,,,,
10371019,Craft Smart Multi-Surface Howard Day Acrylic Paint,"Get quality coverage at an affordable price with this premium acrylic paint from Howard Day. Durable and weather resistant, the paint's smooth, creamy consistency delivers rich coverage in a full range of colors.","Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Craft Paint, Ink & Glaze > Art & Craft Paint",CRAFTS & HOBBIES > Howard Day > Acrylic Craft Paints,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html,http://img.michaels.com/L6/3/IOGLO/831890610/187264572/10371029.jpg?fit=inside|540:540,,new,in stock,0.99,,,,,Craft Smart,8.86947E+11,10371029,unisex,adult,Rain Forest,2 oz,,,,,M10371004,,,http://www.michaels.com/craft-smart-multisurface-premium-paint/10371029.html?cm_mmc=zadv_PinterestBrand-_-pinterest-_-alpha-_-2017&utm_campaign=alpha_{campaignid}&utm_medium=social&utm_source=pinterest&utm_content={adgroupid},"THANKYOU417,50APRIL1817,",,,,,,
D034779S,David Tutera Cloth Table Runner,Add some classic color to any surface in your event with this sleek cloth table runner. Pair this table runner with any color to create a striking combination.,Religious & Ceremonial > Wedding Ceremony Supplies,"Categories Home Tabbed Slider > Wedding Invitations, Favors & D̩cor",http://www.michaels.com/david-tutera-cloth-table-runner/D034779S.html,http://www.michaels.com/david-tutera-cloth-table-runner/D034779S.html,http://img.michaels.com/L6/3/IOGLO/915239615/229247729/28712_DTP303_2.jpg?fit=inside|540:540,,new,in stock,5.19,,,,,David Tutera,6.52695E+11,D034779S,unisex,adult,Orange,"12"" x 72""",,,,,MD034876S,,,http://www.michaels.com/david-tutera-cloth-table-runner/D034779S.html?cm_mmc=zadv_PinterestBrand-_-pinterest-_-alpha-_-2017&utm_campaign=alpha_{campaignid}&utm_medium=social&utm_source=pinterest&utm_content={adgroupid},"THANKYOU417,50APRIL1817,",,,,,,
